FALSE,pair_id,topic,tagabawa,cebuano,filipino,english,,notes
TRUE,P001,visiting,Ágpanumbalé,Pagbisita,Pagdalaw,Visiting,,
FALSE,P002,visiting,Madigár,Maayo,Kamusta,Hello,,
FALSE,P003,visiting,Áskiyu kannê!,Kamo diay!,Kayo pala!,"Oh, it's you!",,plural
FALSE,P004,visiting,Allus kó,Dayun mo,Tulay po kayo,Come ahead,,plural
FALSE,P005,visiting,Pénék kó,Saka mo,Umakyat kayo,Come up,,plural
FALSE,P006,visiting,Ahu kó,Sulod mo,Pasok po kayo,Come in,,plural
FALSE,P007,visiting,Unsad kó,Lingkod mo,Maupo kayo,Sit down,,plural
FALSE,P008,visiting,Unsad kó,Lingkod mo,Maupo kayo,Have a seat,,plural
FALSE,P009,visiting,Ándinné gulitán yu?,Unsa inyong tuyo?,Anong kailangan ninyo?,Why have you come?,,plural
FALSE,P010,visiting,Ándinné kalyag nu?,Unsa imong gusto?,Anong gusto mo?,Is there something you want?,,
FALSE,P011,visiting,Ándin ég kadigárran nu?,Unsa imong nagustohan?,Anong gusto mo talaga?,What is it you would like?,,need to double check
FALSE,P012,visiting,Ándin ég kailanganán nu?,Unsay imong kinahanglan?,Mayroon ka bang kailangan?,Is there something you need?,,
FALSE,P013,visiting,Ándà kalyag ku dád,Wala man,Wala naman,Nothing in particular,,
FALSE,P014,visiting,Duwán pád gulitán kuk nikó,Naa unta koy hangyu sa imoha,Mayroon akong ipakikiusap sa iyo,I have a favor to ask of you,,need to double check
FALSE,P015,visiting,Ándin man?,Unsa man?,Ano ba yon?,What is it?,,
FALSE,P016,visiting,Mému mállássa katô pala nu?,Mahimu ba mohulam ko sa imong pala?,Puede bang mahiram ang pala mo?,May I borrow your shovel?,,
FALSE,P017,visiting,Ulián ku dád kanik mapun,Iuli lang nako unyang hapon,Isasauli ko rin mamayang hapon,I'll return it this afternoon,,
FALSE,P018,visiting,Mállássa pád áknikó ka salapì kaliman pisus?,Mohulam unta ko nimo ug kwarta bali singkwenta pisos?,Puede ba akong manghiram ng limangpung piso sa iyo?,May I please borrow fifty pesos from you?,,
FALSE,P019,visiting,"Óó, pabállássán kus kuna ka kaliman pisus","Oo, pahulamon ta ka ug singkwenta pisos","Oo, pahihiramin kita ng limangpung piso","Yes, I'll lend you fifty pesos",,
FALSE,P020,visiting,"Salamat, bullasan kù nit dumunggù linggu","Salamat, ilisan lang nako sa sunod simana","Salamat, babayaran ko sa susunod na linggo","Thank you, I'll return it next week",,
FALSE,P021,visiting,Muna ad ákniyu,Mouna ko sa inyoha,Mauuna na ako sa inyo,I'll go on ahead of you,,plural
FALSE,P022,visiting,Mulì ad,Mouli nako,Uuwi na ako,I'll be going home now,,
FALSE,P023,visiting,Panó kid,Adto na ta,Tayo na,Let's go now,,
FALSE,P024,visiting,Lónód ka,Balik lang,Balik ka lang uli,Come again,,
FALSE,P025,visiting,"Óó, lumónóddô","Oo, mobalik lang ko","Oo, babalik ako","Yes, I'll certainly come back",,
FALSE,P026,,Tut dalan,Sa dalan,Sa daan,On the path,,
FALSE,P027,on_the_path,Ándayé igtikudan nu?,Asa ka gikan?,Saan ka galing?,Where have you come from?,,
FALSE,P028,on_the_path,Ándayé sadunan nu?,Asa ka moadto?,Saan ka pupunta?,Where are you going?,,auto-split from slash values
FALSE,P029,on_the_path,Mánda ka?,Asa ka moadto?,Saan ka pupunta?,Where are you going?,,auto-split from slash values
FALSE,P030,on_the_path,Taddô dád,Diha lang,Diyan lang,Just over there,,
FALSE,P031,on_the_path,Madunna tuk niyu,Moadto ako sa inyoha,Pupunta ako sa inyo,I'm going to your place,,plural
FALSE,P032,on_the_path,Madunna tut munisipyu,Moadto ko sa munisipyu,Pupunta ako sa munisipyu,I'm going to the post office,,need to double check
FALSE,P033,on_the_path,Mamalingkiyad.,Mamalingki ko,Mamamalengke ako,I'm going to the market,,auto-split from slash values
FALSE,P034,on_the_path,Mamálliya,Mamalingki ko,Mamamalengke ako,I'm going to the market,,auto-split from slash values
FALSE,P035,on_the_path,Madunna dád tug babà,Moadto lang ko sa ubus,Pupunta lang ako sa baba,I'm just going down there,,
FALSE,P036,on_the_path,Madunna dád tun daya,Moadto lang ko sa ibabaw,Pupunta lang ako sa taas,I'm just going up there,,
FALSE,P037,,Tut baryu,Sa baryo,Sa nayon,At the village,,
FALSE,P038,at_the_village,Madigár góddóan ni lugar yu,Ang inyong lugar maayong puy-an,Magandang tirahan ang inyong lugar,Your place is a nice place to live,,plural
FALSE,P039,at_the_village,Ágkadigárranna dini su masunay,Gusto ko diri kay malinawon nga lugar,Gusto ko rito dahil tahimik na lugar,I like it here because it's peaceful,,
FALSE,P040,at_the_village,Ánda tô ámmà nu asta innà nu?,Asa ang imong amahan ug inahan?,Nasaan ang mga magulang mo?,Where are your parents?,,
FALSE,P041,at_the_village,"Tô ámmà ku tun datas, na tô innà ku tut wayig","Ang akong amahan didto sa taas, ug ang akong inahan didto sa sapa",Ang tatay ay nasa itaas at ang nanay ko po naman ay nasa ilog,"My father is upstairs, and my mother is at the river",,
FALSE,P042,at_the_village,Taddô ta balé,Naa diha sa balay,Nandiyan po sa bahay,There at the house,,
FALSE,P043,at_the_village,Ándayé góddóan katô amayánnán nu?,Asa nagpuyo ang imong uyuan?,Saan nakatira ang iyong tiyuhin?,Where does your uncle live?,,
FALSE,P044,at_the_village,Tô amayánnán kuwé góddô katô balé tut bókkóg katô simbaan,Ang akong uyuan ang nagpuyo sa balay sa likud sa simbahan,Ang aking tiyuhin ang nakatira sa bahay na nasa likod ng simbahan,My uncle lives in the house behind the church,,
FALSE,P045,at_the_village,Ádding ka pa,Hapit sa,Daan ka muna,Stop in,,singular
FALSE,P046,at_the_village,Ádding kó pa,Hapit sa mo,Daan muna kayo,Stop in,,plural
FALSE,P047,at_the_village,"Dì dán, lumabéyad","Di na, molabay lang ku","Wag na, dadaan lang kami","Not now, I'll pass on by",,auto-split from slash values
FALSE,P048,at_the_village,"Dì dán, lumabé kéd","Di na, molabay lang mi","Wag na, dadaan lang kami","Not now, we'll pass on by",,auto-split from slash values
FALSE,P049,at_the_village,Diyad mádding sug lukutta,Di na ko mohapit kay gadali ko,Hindi na nagmamadali ako,I will not stop in because I'm in a hurry,,
FALSE,P050,at_the_village,Pénék kó,Saka lang mo,Umakyat kayo,Come up,,you pl; auto-split from slash values
FALSE,P051,at_the_village,Pénék kó dun,Saka lang mo diha,Umakyat kayo d'yan,Go on up there,,you pl; auto-split from slash values
FALSE,P052,at_the_village,Pónóg kó.,Kanaug mo,Bumaba kayo,Go on down ,,you pl; auto-split from slash values
FALSE,P053,at_the_village,Pónóg kó dun,Kanaug mo diha,Bumaba kayo d'yan, Get down from there,,you pl; auto-split from slash values
FALSE,P054,,Ágpatóngkóé tun dalám ka balé,Nagistoryahanay sa sulod sa balay,Pagkukuwentohan sa loob ng bahay,Conversation at home,,
FALSE,P055,conversation_at_home,Ándà sóddór ku,Wala ko kahibalo,Hindi ko alam,I don't know,,
FALSE,P056,conversation_at_home,Tógón din,Pasagdi lang,Hindi bale,Never mind,,
FALSE,P057,conversation_at_home,Áskuna,Ikaw,Ikaw,It's up to you,,auto-split from slash values
FALSE,P058,conversation_at_home,Tamak nikó,Ambot sa imo,Aywan ko sa iyo,I don't know about you,,auto-split from slash values
FALSE,P059,conversation_at_home,Sakán dán,Ako na lang,Ako na lang,I'll do it,,
FALSE,P060,conversation_at_home,Panówad,Molakaw na ko,Aalis na ako,I'll go now,,
FALSE,P061,conversation_at_home,Sadun ka dini,Dali diri,Halika rito,Come here,,
FALSE,P062,conversation_at_home,Sadun ka pa dini,Dali sa diri,Halika muna rito,Come here first,,
FALSE,P063,conversation_at_home,Piddiya ka kuk,Dalhi ko ug coke,Dalhan mo ako ng coke,Bring me a Coke,,
FALSE,P064,conversation_at_home,Pókê nu yan sállat,Ablihi ang pultahan,Buksan mo ang pinto,Open the door,,
FALSE,P065,conversation_at_home,Sagpáng nu tô téwang,Siraduhi ang bintana,Isara mo ang bintana,Close the window,,
FALSE,P066,conversation_at_home,Angat ka pa dógó,Hulat sa kadali,Sandali lang,Wait a minute,,auto-split from slash values
FALSE,P067,conversation_at_home,Dógó dád,Dali lang,Sandali lang,Just a minute,,auto-split from slash values
